OBJECTID,BUSINESSNAME,PRINCIPALOWNER,EXPIRATIONDATE,GIS_LAST_MOD_DTTM,WEBSITE,WARD,STARTDATE,PROPOSALPOINTS,PHONE,OTHERCERTIFICATIONS,ORGANIZATIONTYPE,FAX,EMAIL,DATEESTABLISHED,CONTACTNAME,CERTIFICATIONNUMBER,BUSINESSDESC,BIDPRICEREDUCTION,ADDRESS,SBE,CATEGORIES,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE
1001,Goldblatt Martin Pozen LLP,"Thorn Pozen;David Goldblatt;Thomas Martin",2021-05-14T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.gmpllp.com,2,2018-05-14T00:00:00.000Z,12,2027959999,,Partnership,2027959192,dgoldblatt@gmpllp.com,2013-02-07T00:00:00.000Z,David Goldblatt,LSZR71856052021,"Golblatt Martin Pozen LLP provides targeted and sophisticated legal services to clients including some of the nations largest corporations and public and private entities, to government agencies, and to emerging businesses in and around Washington, D.C. With our depth of experience and expertise, flexibility, and cost-effectiveness, GMP LLP solves our clients most critical legal, strategic, and local government relations issues.",.12,1625 K STREET NW WASHINGTON DC 20006 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",242032,396755.08,137230.43,38.902922884046,-77.037409597381
1002,"Goldin & Stafford, Inc.","Brian Mattingly;Kenneth M McNabb;Sidney Chapman",2021-03-12T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.goldinandstafford.com,5,2018-02-07T00:00:00.000Z,7,2028822600,,Corporation,2028825330,bmattingly@goldinandstafford.com,1992-02-01T00:00:00.000Z,Brian Mattingly,LSZ49524032021,"Construction-Excavation, Demolition, Site Preparation",,2851 V STREET NE WASHINGTON DC 20018 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",287305,402769.46,138971.94,38.91861262546,-76.9680647978699
1003,Key Global Synergies Inc.,Cindy Quiroz,2020-12-08T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.kgsynergy.com,2,2017-12-08T00:00:00.000Z,9,2027709233,,Corporation,,info@keysyn.com,2015-05-27T00:00:00.000Z,Cindy Quiroz,LSDZ67419122020,"Key Global Synergies Inc. (KGS) provides management and building services and business consulting to the architectural, engineering and construction industries, private and not-for-profit organizations and government agencies. KGS is comprised of professional personnel with in-depth knowledge and experience in both the engineering and construction industries managing airport and government projects in planning, construction, inspection, administration, and facilities management. We align our top team talent to seamless integrate on programs and projects. Our administration team provides support services in the field and in the office, providing project document control, weekly meetings and overall administration.; contract document control, record and manage project information, preservation of inspection records, documents and construction photographs, cost estimating, scheduling, and budget analysis. We are trained in LEED and many staff are trained or certified in ICC - IBC, IECC, IgCC and ASHRAE – BCxP and BEAP. Our staff are trained in D.C. Green Codes and other federal, state and local codes. Facilities maintenance & janitorial services. Our building services and maintenance staff are part of the KGS team through design, construction, operations and occupancy. Our building services provides janitorial services staff train in LEED and local green codes to provide services with an emphasis in green cleaning; Green Seal (GS-42), healthy high-performance cleaning, xxpert floor cleaning services, event setup and take-down and emergency services. We provide business strategy and economic research. We work with the small business community, government agencies and private firms, facilitating a strategic partnership for success. We realize the industry needs qualified small businesses to manage, build and maintain their projects. KGS provides business consulting services, business and community outreach events, macro, micro and workforce economic studies.",,1413 K STREET NW Washington DC 20005 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",279142,397164.6,137227.69,38.9028996175388,-77.032688367391
1004,Keystone Plus Construction Corporation,Carlos Perdomo,2021-04-30T00:00:00.000Z,2019-02-08T05:02:22.000Z,,8,2018-04-30T00:00:00.000Z,12,2028577903,,Corporation,2028577908,cperdomo@keystonedc.com,1989-08-02T00:00:00.000Z,Carlos Perdomo,LSDZR26158042021,General Contractor Building Construction Services Complete Renovation Remodeling Demolition Elevators and Escalators Windows Facility Maintenance,.12,1925 MINNESOTA AVENUE SE WASHINGTON DC 20020 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",53665,402063.77,133632.55,38.8705153833529,-76.9762182908223
1005,KeyUrban,Dahn Warner,2021-04-05T00:00:00.000Z,2019-02-08T05:02:22.000Z,,4,2018-04-05T00:00:00.000Z,12,2027445309,,LLC,2022801002,info@keyurban.com,2008-04-21T00:00:00.000Z,Dahn Warner,LSZR51420042021,Development Consulting Services.,,908 QUINCY STREET NW WASHINGTON DC 20011 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",224880,397770.17,141059.49,38.9374194616175,-77.025719402049
1006,"KGO, LLC","William R Kennington;Jennifer Olson;Selva Gunenc",2019-12-21T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.kgopm.com,2,2017-04-17T00:00:00.000Z,7,2025520002,,LLC,,selva@kgopm.com,2007-01-12T00:00:00.000Z,Selva Gunenc,LSZ54761122019,"KGO proactively manages your renovation, relocation or new building project. We become an integral part of the project process performing overall planning, creating schedules, creating and maintaining project budgets, procuring competitive and best prices, ensuring quality, and anticipating and resolving issues. KGO approaches each project as if it were our own. We become an extension to your staff bringing an expertise to your side. During a project, hundreds of decisions must be made. While we dont make the decisions for you, we identify the issues and perform all the analysis necessary for you to make a timely and informed decision. Our objective is to create well-run and successful projects—projects that complete on-time, within budget and reflect high quality. We develop a project budget for all project costs including professional design services, building permits, construction, voice and data cabling, telephone equipment, moving, and furniture along with appropriate project contingencies. Throughout the project, we update the budget as the costs become refined. Because of our extensive experience, we know which contractors and vendors are best suited for your project and who are offering the best price. We also know the customary cost for the various budget items, and we ensure that the charges to our clients are appropriate. Our team-oriented approach creates smooth running projects where the team members—the architects and designers, contractors and vendors—are proud to be involved. Of course every project has its issues to resolve and disagreements to negotiate, but when handled in a professional, fair, and consistent way, conflicts and frustrations are prevented or avoided.",,1432 K STREET NW WASHINGTON DC 20005 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",308911,397103.59,137159.09,38.9022814455603,-77.033391441697
1007,"KGP Design Studio, LLC","William Gallagher;Florencio Paraon;Kenneth Kajiwara;Donald Paine",2019-05-27T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.kgpds.com,2,2016-04-26T00:00:00.000Z,12,2028222102,,LLC,,mail@kgpds.com,2000-10-13T00:00:00.000Z,Florencio Paraon,LSZX85130052019,"KGP design studios primary service is architectural design, urban design, planning and transportation design. KGP also has extensive experience with the renovation and adaptive reuse of existing facilities including office, residential and retail. Furthermore, KGP has provided on-call services to a range of clients through prime, consultant and independent roles in the following areas:  Site and building evaluations feasibility assessment Facilities programming and planning Conceptual design/pre-design Architectural design Construction administration",,1777 CHURCH STREET NW WASHINGTON DC 20036 ,true,"Local Business Enterprise (LBE);Longtime Resident Business (LRB);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",225921,396451.5,138075.11,38.9105308811707,-77.0409138336245
1008,"MindFinders, Inc.",Tim Booker,2019-04-03T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.themindfinders.com,2,2016-04-03T00:00:00.000Z,12,2024002602,,Corporation,2024505693,tbooker@themindfinders.com,2001-03-21T00:00:00.000Z,Tim Booker,LSDX80222042019,"Professional search firm specializing in sales, marketing, human resources, financial, accounting & information technology",,1200 18TH STREET NW WASHINGTON DC 20036 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Longtime Resident Business (LRB);Small Business Enterprise (SBE);",241292,396352.33,137565.76,38.9059420751102,-77.0420545477422
1009,Princess P Consulting,Kyree Clarke,2021-03-30T00:00:00.000Z,2019-02-08T05:02:22.000Z,,8,2018-02-26T00:00:00.000Z,12,2027348925,,LLC,2026292434,princesspconsulting@gmail.com,2016-07-26T00:00:00.000Z,Kyree Clarke,LSDZR95269032021,"Princess P Consulting is a trusted partner that delivers high-value, cost-effective solutions to solve customers most complex technical and analytical problems. Our mission is to foster long-term relationships with our clients in hopes to have repeat business. We ensure that our work directly supports our customers mission, develop innovative technical solutions and deliver exceptional, timely work. We are focused (but not limited) on the full lifecycle of a project, enterprise needs to grow and cultivate businesses as well as manage and direct project work. The company focuses on project management, operations, Information Technology, strategic planning, and organizational strategies.",.12,1336 TALBERT COURT SE Washington DC 20020 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",306640,400877.08,132594.07,38.8611623119898,-76.98989435454
1010,PRISM INTERNATIONAL LLC,Deon Ford,2021-04-02T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.prism-intl.com,2,2018-03-15T00:00:00.000Z,12,2022515977,,LLC,2024348707,info@prism-intl.com,2001-09-27T00:00:00.000Z,Deon Ford,LSDZRV34380042021,"Prism International (PI) is an information technology (IT) consulting program management company with experience in credentialing to include HSPD12 NIST FIPS201 Smart Cards. The technical support services division staffs call centers and supports administrative operations. PI maintains a staff of software developers to support Web development, Service Oriented Architecture (SOA) on all windows platforms to include Windows CE .NET, Windows Server 2003 and Windows XP. Our information assurance (IA) and security assessment consulting division provides services and products supporting a variety software and hardware solutions. Our Program management members are experienced industry executives in environmental protection, executing task such as grant primacy to state agencies; program management for all areas of water quality; hazardous waste management and brownfield redevelopment; community programming education and outreach. Our administrative law section supports a suite of regulatory functions including electronic docketing, rule tracking and public outreach. Prism International uses its strong analytical capabilities and a focus on business processes paired with creativity and a sincere concern for the health and welfare of the DC community to provide products and services to support any program or initiative.",,1200 G STREET NW WASHINGTON DC 20005 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Veteran Owned Business (VOB);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",278917,397527.87,136688.58,38.8980442187881,-77.0284984104825
